Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423310;RT >12-14t Euro-I;diesel;RT >12-14t;HGV D Euro-I;394653.4063;7.00E-05;12.26713085;12.3128376;12.22812843;3.991213322;3.715731144;4.249778748;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423330;RT >12-14t Euro-III;diesel;RT >12-14t;HGV D Euro-III;344857.7188;0.000289917;12.29418373;12.36174297;12.1998415;3.853406668;3.614187241;4.08114624;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423410;RT >14-20t Euro-I;diesel;RT >14-20t;HGV D Euro-I;766040.1875;0.000115294;12.17180634;12.23037338;12.1204071;4.319343567;3.967600584;4.678544044;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423430;RT >14-20t Euro-III;diesel;RT >14-20t;HGV D Euro-III;659932.5;0.001426681;12.26782417;12.31162453;12.22124958;4.008446217;3.808884382;4.256489754;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423510;RT >20-26t Euro-I;diesel;RT >20-26t;HGV D Euro-I;1281293;5.47E-05;12.22057247;12.32159996;12.11082268;6.14620018;5.399373055;6.912425518;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423530;RT >20-26t Euro-III;diesel;RT >20-26t;HGV D Euro-III;1103041.25;0.001076686;12.31480885;12.37195396;12.25042534;5.715621471;5.212129116;6.188873291;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423610;RT >26-28t Euro-I;diesel;RT >26-28t;HGV D Euro-I;1136962.375;2.33E-06;12.21286678;12.32230473;12.09619141;6.494480133;5.723263264;7.294888973;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423630;RT >26-28t Euro-III;diesel;RT >26-28t;HGV D Euro-III;955644.25;6.03E-05;12.30580711;12.35531616;12.22965908;6.149405479;5.584481239;6.710353851;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423710;RT >28-32t Euro-I;diesel;RT >28-32t;HGV D Euro-I;990090.9375;3.23E-05;12.21949863;12.34231663;12.11730194;7.342719078;6.282362461;8.404344559;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423730;RT >28-32t Euro-III;diesel;RT >28-32t;HGV D Euro-III;851132.75;0.000873261;12.28621483;12.35507679;12.21366596;6.651491642;5.907887459;7.357207298;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
