Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;070;Übrige Kreise (Regierungsbezirk);73;61;12;66;7;*;
;;070;Rheinland-Pfalz;87;67;20;80;7;*;
;;07;Rheinland-Pfalz;87;67;20;80;7;*;
;;08111;Stuttgart, Landeshauptstadt;28;22;6;25;3;*;
;;08115;Böblingen;10;*;*;10;-;-;
;;08116;Esslingen;27;21;6;27;-;-;
;;08117;Göppingen;12;12;-;12;-;-;
;;08119;Rems-Murr-Kreis;13;*;*;*;*;-;
;;08127;Schwäbisch Hall;20;*;*;20;-;-;
;;08136;Ostalbkreis;12;12;-;*;*;-;
;;081;Übrige Kreise (Regierungsbezirk);24;21;3;*;*;*;
;;081;Reg.-Bez. Stuttgart;146;128;18;139;7;4;
;;08215;Karlsruhe;10;7;3;10;-;-;
;;08221;Heidelberg, Stadt;167;26;141;153;14;*;
;;08222;Mannheim, Universitätsstadt;20;*;*;*;*;-;
;;082;Übrige Kreise (Regierungsbezirk);28;22;6;*;*;-;
;;082;Reg.-Bez. Karlsruhe;225;73;152;207;18;*;
;;08317;Ortenaukreis;10;*;*;10;-;-;
;;083;Übrige Kreise (Regierungsbezirk);31;*;*;*;*;-;
;;083;Reg.-Bez. Freiburg;41;37;4;*;*;-;
;;084;Reg.-Bez. Tübingen;36;31;5;*;*;-;
;;08;Baden-Württemberg;448;269;179;419;29;5;
;;09162;München, Landeshauptstadt;79;58;21;72;7;*;
;;09178;Freising;10;*;*;10;-;*;
;;09184;München;53;47;6;*;*;-;
;;09187;Rosenheim;12;*;*;12;-;*;
;;091;Übrige Kreise (Regierungsbezirk);83;71;12;76;7;*;
;;091;Oberbayern;237;196;41;222;15;6;
;;09271;Deggendorf;16;16;-;16;-;-;
;;092;Übrige Kreise (Regierungsbezirk);38;34;4;35;3;-;
;;092;Niederbayern;54;50;4;51;3;-;
;;09362;Regensburg, Stadt;13;*;*;*;*;-;
;;09363;Weiden i.d.OPf., Stadt;11;*;*;*;*;-;
;;09373;Neumarkt i.d.OPf.;14;*;*;*;*;-;
;;09376;Schwandorf;16;10;6;16;-;*;
;;093;Übrige Kreise (Regierungsbezirk);29;*;*;*;*;-;
;;093;Oberpfalz;83;70;13;77;6;*;
;;09462;Bayreuth, Stadt;44;*;*;16;28;-;
;;09463;Coburg, Stadt;31;27;4;*;*;25;
;;09471;Bamberg;17;14;3;17;-;-;
;;09472;Bayreuth;15;*;*;*;*;-;
;;09475;Hof;12;*;*;12;-;-;
;;094;Übrige Kreise (Regierungsbezirk);45;31;14;*;*;3;
;;094;Oberfranken;164;138;26;130;34;28;
;;09563;Fürth, Stadt;42;33;9;*;*;*;
;;09564;Nürnberg, Stadt;61;43;18;58;3;*;
;;09574;Nürnberger Land;21;*;*;21;-;-;
;;09576;Roth;12;*;*;12;-;-;
;;095;Übrige Kreise (Regierungsbezirk);40;34;6;35;5;3;
;;095;Mittelfranken;176;140;36;167;9;5;
;;096;Unterfranken;46;37;9;43;3;-;
;;09774;Günzburg;14;4;10;14;-;-;
;;097;Übrige Kreise (Regierungsbezirk);41;37;4;38;3;-;
;;097;Schwaben;55;41;14;52;3;-;
;;09;Bayern;815;672;143;742;73;40;
;;100;Saarland;14;14;-;10;4;*;
;;10;Saarland;14;14;-;10;4;*;
;;11000;Berlin, Stadt;240;178;62;184;56;*;
;;110;Berlin;240;178;62;184;56;*;
;;11;Berlin;240;178;62;184;56;*;
;;12054;Potsdam, Stadt;10;5;5;*;*;-;
