Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
59	15:32:17	15:32:17	15:32:17	15:32:17	15:32:17	15:32:17			15:32:17	15:32:17	15:32:19	15:32:19	15:32:19	15:32:19	15:32:19	15:32:19			15:32:20	15:32:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
60	15:32:20	15:32:20	15:32:20	15:32:20	15:32:20	15:32:20	15:32:20	15:32:20	15:32:20	15:32:20	15:32:22	15:32:22	15:32:22	15:32:22	15:32:22	15:32:22	15:32:22	15:32:22	15:32:23	15:32:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
61	15:32:23	15:32:23	15:32:23	15:32:23	15:32:23	15:32:23			15:32:23	15:32:23	15:32:25	15:32:25	15:32:25	15:32:25	15:32:25	15:32:25			15:32:26	15:32:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
62	15:32:26	15:32:26	15:32:26	15:32:26	15:32:26	15:32:26			15:32:26	15:32:26	15:32:27	15:32:27	15:32:27	15:32:27	15:32:27	15:32:27			15:32:28	15:32:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
63	15:32:29	15:32:29	15:32:29	15:32:29	15:32:29	15:32:29			15:32:29	15:32:29	15:32:30	15:32:30	15:32:30	15:32:30	15:32:30	15:32:30			15:32:31	15:32:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
64	15:32:32	15:32:32	15:32:32	15:32:32	15:32:32	15:32:32			15:32:32	15:32:32	15:32:33	15:32:33	15:32:33	15:32:33	15:32:33	15:32:33			15:32:34	15:32:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
65	15:32:35	15:32:35	15:32:35	15:32:35	15:32:35	15:32:35			15:32:35	15:32:35	15:32:36	15:32:36	15:32:36	15:32:36	15:32:36	15:32:36			15:32:44	15:32:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:07	00:00:09
66	15:32:44	15:32:44	15:32:44	15:32:44	15:32:44	15:32:44			15:32:44	15:32:44	15:32:46	15:32:46	15:32:46	15:32:46	15:32:46	15:32:46			15:32:47	15:32:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
67	15:32:47	15:32:47	15:32:47	15:32:47	15:32:47	15:32:47			15:32:47	15:32:47	15:32:48	15:32:48	15:32:48	15:32:48	15:32:48	15:32:48			15:32:49	15:32:49		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
68	15:32:50	15:32:50	15:32:50	15:32:50	15:32:50	15:32:50			15:32:50	15:32:50	15:32:51	15:32:51	15:32:51	15:32:51	15:32:51	15:32:51			15:32:52	15:32:52		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
69	15:32:53	15:32:53	15:32:53	15:32:53	15:32:53	15:32:53			15:32:53	15:32:53	15:32:54	15:32:54	15:32:54	15:32:54	15:32:54	15:32:54			15:32:55	15:32:55		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
